Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.093760E+2,-3.730652E+1,-5.231094E+1
8.087317E+2,-3.723315E+1,-5.234325E+1
8.084081E+2,-3.734954E+1,-5.253939E+1
8.085710E+2,-3.706366E+1,-5.231191E+1
8.067972E+2,-3.698535E+1,-5.239289E+1
8.072797E+2,-3.752473E+1,-5.240339E+1
8.058295E+2,-3.702411E+1,-5.253213E+1
8.056680E+2,-3.728422E+1,-5.250082E+1
8.043773E+2,-3.755861E+1,-5.258714E+1
8.034128E+2,-3.666113E+1,-5.256472E+1
8.029283E+2,-3.692268E+1,-5.255619E+1
8.032515E+2,-3.658261E+1,-5.253291E+1
8.024449E+2,-3.667756E+1,-5.254748E+1
8.022835E+2,-3.684182E+1,-5.251587E+1
8.021230E+2,-3.638296E+1,-5.271994E+1
7.998666E+2,-3.616939E+1,-5.263278E+1
7.995436E+2,-3.648499E+1,-5.256341E+1
7.980927E+2,-3.617596E+1,-5.286755E+1
7.980923E+2,-3.607898E+1,-5.313228E+1
7.966413E+2,-3.649976E+1,-5.284673E+1
7.966415E+2,-3.619357E+1,-5.292354E+1
7.971259E+2,-3.599570E+1,-5.275978E+1
7.959979E+2,-3.598463E+1,-5.272533E+1
7.950292E+2,-3.613428E+1,-5.312264E+1
7.951917E+2,-3.596452E+1,-5.273024E+1
7.943859E+2,-3.574326E+1,-5.283659E+1
7.935795E+2,-3.583282E+1,-5.292122E+1
7.953523E+2,-3.578697E+1,-5.302354E+1
7.955154E+2,-3.561578E+1,-5.253450E+1
7.924527E+2,-3.537375E+1,-5.261393E+1
7.930972E+2,-3.545095E+1,-5.282558E+1
7.926121E+2,-3.603843E+1,-5.272143E+1
7.914861E+2,-3.517373E+1,-5.268075E+1
7.906791E+2,-3.557915E+1,-5.268981E+1
7.919696E+2,-3.529280E+1,-5.251999E+1
7.924526E+2,-3.542788E+1,-5.261405E+1
7.905173E+2,-3.550324E+1,-5.291074E+1
7.893887E+2,-3.517440E+1,-5.320317E+1
7.900366E+2,-3.513979E+1,-5.221648E+1
7.898751E+2,-3.519809E+1,-5.226606E+1
7.890676E+2,-3.537965E+1,-5.262011E+1
7.900376E+2,-3.490147E+1,-5.202484E+1
7.889086E+2,-3.488245E+1,-5.223433E+1
7.882623E+2,-3.501152E+1,-5.260486E+1
7.890702E+2,-3.469571E+1,-5.216853E+1
7.876185E+2,-3.481716E+1,-5.230785E+1
7.879413E+2,-3.468277E+1,-5.245868E+1
7.879399E+2,-3.511401E+1,-5.237630E+1
7.877819E+2,-3.451814E+1,-5.189824E+1
7.869750E+2,-3.449007E+1,-5.208050E+1
7.866529E+2,-3.428493E+1,-5.209374E+1
7.864911E+2,-3.444811E+1,-5.221762E+1
7.863297E+2,-3.471389E+1,-5.210522E+1
7.861707E+2,-3.400586E+1,-5.199100E+1
7.858478E+2,-3.413250E+1,-5.201228E+1
7.853654E+2,-3.409443E+1,-5.164217E+1
7.855267E+2,-3.392683E+1,-5.159010E+1
7.848820E+2,-3.371929E+1,-5.178522E+1
7.842358E+2,-3.407389E+1,-5.192029E+1
7.858499E+2,-3.398970E+1,-5.138860E+1
7.842358E+2,-3.407389E+1,-5.192029E+1
7.858499E+2,-3.398970E+1,-5.138860E+1
7.848812E+2,-3.433614E+1,-5.152417E+1
7.847217E+2,-3.353374E+1,-5.157194E+1
7.826244E+2,-3.410062E+1,-5.185084E+1
7.837552E+2,-3.346029E+1,-5.137848E+1
